Actual,LSTM Predictions
264795.1499999999,-4534.893
-40068.11999999988,-16697.28
-53091.89999999991,-14792.476
-113417.82000000007,-12672.395
-4777.949999999953,-8444.443
155171.3999999999,-8686.647
-121228.29000000004,-16543.96
-51080.39999999991,-12655.744
48766.82999999996,-10588.769
3051.359999999986,-12608.949
30701.969999999972,-13089.478
48418.1100000001,-14712.484
