Actual,ARIMA Forecast
1406157.63,-130868.16973485757
1421537.88,-16348.0333245158
1383826.23,26862.17344008591
1232696.76,-5020.711274096253
1076789.34,-29039.175508480475
1076053.32,-23145.525788364394
954089.01,-12737.680321275935
781044.3,-12342.349303120347
656766.42,-16118.603918998884
535539.9,-17205.28525157781
445015.35,-16069.828714390567
402908.91000000003,-15382.78687953674
