Model,MAE,MSE,R²
ARIMA,29281.781520041674,1523218793.675444,0.9395184766819678
XGBoost,39272.50285714285,2030475206.3214047,0.9461570158599726
LSTM,327083.11328125,116382774100.63542,-3.928631213645068
