Model,Mean RMSE,Std Dev RMSE
Ridge,0.12639840594345061,0.030355606120386493
Lasso,0.11993965399762105,0.026293763405850424
ElasticNet,0.12300419426260108,0.02782213099062454
RandomForest,0.20280114881335862,0.07442466659108596
GradientBoosting,0.16581020605738045,0.04622691358639619
