ARIMA Forecast
-130868.16973485757
-16348.0333245158
26862.17344008591
-5020.711274096253
-29039.175508480475
-23145.525788364394
-12737.680321275935
-12342.349303120347
-16118.603918998884
-17205.28525157781
-16069.828714390567
-15382.78687953674
