Actual,ARIMA Forecast
1336316.1,10115.632250763425
1259719.56,-64361.2672415853
1006277.1900000001,-7809.207998568956
936812.07,-54374.47555084564
778950.72,-19462.571676741667
719258.49,-48631.55899235538
602220.03,-27131.010140046856
648253.35,-45448.16853553815
635448.72,-32250.53428982968
622203.99,-43790.53299391524
608553.72,-35725.95467114591
538128.3,-43027.062241581305
