ARIMA Forecast
24689.5197467251
-44954.677649822734
-2006.482843126394
-7624.182354036401
-19636.635984004184
-8611.184953900478
-12263.199364726075
-13707.996653045258
-11260.69924283648
-12531.509134250562
-12510.908669828788
-12047.463704415397
