Actual,LSTM Predictions
304535.49,12416.601
20371.080000000075,3698.7883
-306262.6200000001,3135.2498
228704.94000000006,11436.625
-6034.5599999999395,4958.253
110358.74999999988,5499.5415
-47896.919999999925,2690.1777
151902.23999999987,4257.6865
-149941.34999999986,153.71886
42438.59999999998,4602.893
-103851.21000000008,3682.2896
7674.570000000065,6927.3257
