Model,Mean RMSE,Std Dev RMSE
Ridge,0.1034897709510417,0.024335605131816325
Lasso,0.10396458350838819,0.023943766869840247
ElasticNet,0.10388516356159527,0.024216163496085664
RandomForest,0.1769027697712297,0.09770956093046039
GradientBoosting,0.1662819343407116,0.06938300593400028
