ARIMA Forecast
10115.632250763425
-64361.2672415853
-7809.207998568956
-54374.47555084564
-19462.571676741667
-48631.55899235538
-27131.010140046856
-45448.16853553815
-32250.53428982968
-43790.53299391524
-35725.95467114591
-43027.062241581305
