Model,MAE,MSE,R²
ARIMA,37965.525593866376,2421530366.978946,0.9533985929936512
XGBoost,62883.207857142865,5870154584.349298,0.9105833162670474
LSTM,440223.78615808825,218919228388.8717,-3.5576844693858227
