Model,Mean RMSE,Std Dev RMSE
Ridge,0.1226860381306415,0.02247647452474823
Lasso,0.12097633536568138,0.02167644080118496
ElasticNet,0.12159434631190609,0.021744346078149828
RandomForest,0.1942610405495378,0.10575927449015532
GradientBoosting,0.15303249389878348,0.023743916172969275
