Model,MAE,MSE,R²
ARIMA,46666.9710216151,3720784057.670665,0.9434401798982095
XGBoost,55953.66571428573,4266942861.671788,0.9372433757035596
LSTM,474670.9116819853,258183533358.76938,-2.9301791138555973
