Actual,ARIMA Forecast
1492243.44,24689.5197467251
1452958.26,-44954.677649822734
1107410.46,-2006.482843126394
990567.6,-7624.182354036401
867690.18,-19636.635984004184
855171.51,-8611.184953900478
794755.92,-12263.199364726075
886242.57,-13707.996653045258
827787.87,-11260.69924283648
811771.77,-12531.509134250562
691904.46,-12510.908669828788
579711.72,-12047.463704415397
